Save Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/330c150ddc6ca908a1770c08ac3b4694.png
{"status":{"1460529631":{"erorr":0}}}timelog_cacheUnknown errorSave Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/77089839e3e480ed7afa421bb6e95842.png
{"status":{"1460530711":{"erorr":0}}}timelog_cacheUnknown errorSave Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/76b4dc75e4d69267390966d94eb43f10.png
{"status":{"1460531251":{"erorr":0}}}timelog_cacheUnknown errorSave Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/0fe66a3815bbd7f885cb074a29a70ba1.png
{"status":{"1460531491":{"erorr":0}}}timelog_cacheUnknown errorSave Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/173db2786ed517f0ad8c066eb01ccbf2.png
{"status":{"1460532211":{"erorr":0}}}timelog_cacheUnknown errorSave Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/e9c59e665880d64ef2cf65ba899de0c1.png
{"status":{"1460533051":{"erorr":0}}}timelog_cacheUnknown errorSave Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/2f572ea7d2e6a0dcfd3c8c7db87ee2ae.png
{"status":{"1460533411":{"erorr":0}}}timelog_cacheUnknown errorSave Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/6bf4cf1e3e5080f994e4cf191aaeef10.png
{"status":{"1460533891":{"erorr":0}}}timelog_cacheUnknown errorSave Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/3013e8119126324bbd886a6293a6d652.png
{"status":{"1460534791":{"erorr":0}}}timelog_cacheUnknown errorSave Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/319f4106233fce6ad27b953e83832a47.png
{"status":{"1460535511":{"erorr":0}}}timelog_cacheUnknown errorSave Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/5015a43fd24281ff151783622509cf2d.png
{"error":{"logs":{"1460535931":{"active_window":"Test","activities":{"16:19":{"k":0,"m":0},"16:20":{"k":0,"m":0},"16:21":{"k":0,"m":0},"16:22":{"k":0,"m":0},"16:23":{"k":0,"m":0},"16:24":{"k":0,"m":0},"16:25":{"k":0,"m":0}},"comment":"Working now.","contract":"4"}},"token":"oiv2dnPqSO9H90K410FGkKDPbc4JrPCDpNrAXx99B0N14D622J7DrpGPk7APaFALKfQqeoGTtglcq1qjE8q0Y1gZi0wj3ug6mpQly5d83pYX2Vh3O3rVwb1460512278"}}Save Image:C:/Users/Work/AppData/Local/WawJob/WawTracker/e28a40cc67baf771729f90c26df78d97.png
{"error":{"logs":{"1460536351":{"active_window":"Test","activities":{"16:26":{"k":0,"m":0},"16:27":{"k":0,"m":0},"16:28":{"k":0,"m":0},"16:29":{"k":0,"m":0},"16:30":{"k":0,"m":0},"16:31":{"k":0,"m":0},"16:32":{"k":0,"m":0}},"comment":"Working now.","contract":"4"}},"token":"oiv2dnPqSO9H90K410FGkKDPbc4JrPCDpNrAXx99B0N14D622J7DrpGPk7APaFALKfQqeoGTtglcq1qjE8q0Y1gZi0wj3ug6mpQly5d83pYX2Vh3O3rVwb1460512278"}}Cannot load library F:/wawjob/wawjob/TrackerApp/Release/WawTracker.dll: 
F:/wawjob/wawjob/TrackerApp/Release
F:/wawjob/wawjob/TrackerApp/Release/WawTracker.dll
